,number_of_commits,number_of_unique_committers,week,repoID
206,0,0,2019-03-24 00:00:00+00:00,33628160
207,0,0,2019-03-31 00:00:00+00:00,33628160
208,0,0,2019-04-07 00:00:00+00:00,33628160
209,0,0,2019-04-14 00:00:00+00:00,33628160
210,0,0,2019-04-21 00:00:00+00:00,33628160
211,0,0,2019-04-28 00:00:00+00:00,33628160
212,0,0,2019-05-05 00:00:00+00:00,33628160
213,1,1,2019-05-12 00:00:00+00:00,33628160
214,0,0,2019-05-19 00:00:00+00:00,33628160
215,2,2,2019-05-26 00:00:00+00:00,33628160
216,0,0,2019-06-02 00:00:00+00:00,33628160
217,0,0,2019-06-09 00:00:00+00:00,33628160
218,0,0,2019-06-16 00:00:00+00:00,33628160
219,0,0,2019-06-23 00:00:00+00:00,33628160
220,0,0,2019-06-30 00:00:00+00:00,33628160
221,0,0,2019-07-07 00:00:00+00:00,33628160
222,0,0,2019-07-14 00:00:00+00:00,33628160
223,0,0,2019-07-21 00:00:00+00:00,33628160
224,0,0,2019-07-28 00:00:00+00:00,33628160
225,0,0,2019-08-04 00:00:00+00:00,33628160
226,1,1,2019-08-11 00:00:00+00:00,33628160
227,0,0,2019-08-18 00:00:00+00:00,33628160
228,0,0,2019-08-25 00:00:00+00:00,33628160
229,4,2,2019-09-01 00:00:00+00:00,33628160
230,0,0,2019-09-08 00:00:00+00:00,33628160
231,1,1,2019-09-15 00:00:00+00:00,33628160
232,2,1,2019-09-22 00:00:00+00:00,33628160
233,0,0,2019-09-29 00:00:00+00:00,33628160
234,0,0,2019-10-06 00:00:00+00:00,33628160
235,0,0,2019-10-13 00:00:00+00:00,33628160
236,0,0,2019-10-20 00:00:00+00:00,33628160
237,0,0,2019-10-27 00:00:00+00:00,33628160
238,0,0,2019-11-03 00:00:00+00:00,33628160
239,0,0,2019-11-10 00:00:00+00:00,33628160
240,0,0,2019-11-17 00:00:00+00:00,33628160
241,0,0,2019-11-24 00:00:00+00:00,33628160
242,0,0,2019-12-01 00:00:00+00:00,33628160
243,0,0,2019-12-08 00:00:00+00:00,33628160
