,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,week,repoID
125,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-08-21,7567432
126,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-08-28,7567432
127,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-09-04,7567432
128,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-09-11,7567432
129,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2016-09-18,7567432
130,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-09-25,7567432
131,5.0,1.0,4.0,6.0,7.0,3.0,0.0,0.0,0.0,2016-10-02,7567432
132,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-10-09,7567432
133,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,2016-10-16,7567432
134,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-10-23,7567432
135,20.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,2016-10-30,7567432
136,8.0,1.0,0.0,6.0,0.0,0.0,13.0,3.0,0.0,2016-11-06,7567432
137,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-11-13,7567432
138,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-11-20,7567432
139,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-11-27,7567432
140,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-12-04,7567432
141,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-12-11,7567432
142,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-12-18,7567432
143,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-12-25,7567432
144,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-01-01,7567432
145,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2017-01-08,7567432
146,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-01-15,7567432
147,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-01-22,7567432
148,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2017-01-29,7567432
149,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-02-05,7567432
150,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-02-12,7567432
151,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-02-19,7567432
152,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-02-26,7567432
153,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2017-03-05,7567432
154,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-03-12,7567432
155,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2017-03-19,7567432
156,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-03-26,7567432
157,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2017-04-02,7567432
158,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-04-09,7567432
159,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2017-04-16,7567432
160,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2017-04-23,7567432
161,5.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,2017-04-30,7567432
162,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-05-07,7567432
163,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017-05-14,7567432
164,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-05-21,7567432
165,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-05-28,7567432
