,datetime,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status,repoID
186,2016-08-07,2016,8,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7567432
187,2016-08-14,2016,8,14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7567432
188,2016-08-21,2016,8,21,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7567432
189,2016-08-28,2016,8,28,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,7567432
190,2016-09-04,2016,9,4,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,65.0,1.0,7567432
191,2016-09-11,2016,9,11,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,25.0,0.0,7567432
192,2016-09-18,2016,9,18,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,22.0,0.0,7567432
193,2016-09-25,2016,9,25,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,19.0,0.0,7567432
194,2016-10-02,2016,10,2,5.0,1.0,4.0,6.0,7.0,3.0,0.0,0.0,0.0,12.0,3.0,41.0,1.0,7567432
195,2016-10-09,2016,10,9,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,7567432
196,2016-10-16,2016,10,16,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,18.0,1.0,7567432
197,2016-10-23,2016,10,23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
198,2016-10-30,2016,10,30,20.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,66.0,2.0,97.0,1.0,7567432
199,2016-11-06,2016,11,6,8.0,1.0,0.0,6.0,0.0,0.0,13.0,3.0,0.0,16.0,1.0,48.0,0.0,7567432
200,2016-11-13,2016,11,13,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
201,2016-11-20,2016,11,20,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,7567432
202,2016-11-27,2016,11,27,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7567432
203,2016-12-04,2016,12,4,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,36.0,1.0,7567432
204,2016-12-11,2016,12,11,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
205,2016-12-18,2016,12,18,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
206,2016-12-25,2016,12,25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
