,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status,repoID
131,2015,9,27,12.0,0.0,1.0,7.0,7.0,5.0,1.0,1.0,0.0,39.0,1.0,74.0,1.0,7567432
132,2015,10,4,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,7567432
133,2015,10,11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
134,2015,10,18,9.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,26.0,2.0,53.0,1.0,7567432
135,2015,10,25,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
136,2015,11,1,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,7567432
137,2015,11,8,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,20.0,1.0,7567432
138,2015,11,15,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,32.0,1.0,7567432
139,2015,11,22,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7567432
140,2015,11,29,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,14.0,1.0,7567432
141,2015,12,6,1.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,17.0,1.0,7567432
142,2015,12,13,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
143,2015,12,20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7567432
144,2015,12,27,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
145,2016,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
146,2016,1,10,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7567432
147,2016,1,17,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7567432
148,2016,1,24,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,7567432
149,2016,1,31,1.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,7567432
150,2016,2,7,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7567432
151,2016,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567432
152,2016,2,21,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7567432
153,2016,2,28,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
154,2016,3,6,10.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,23.0,1.0,40.0,1.0,7567432
155,2016,3,13,5.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,9.0,3.0,28.0,0.0,7567432
156,2016,3,20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
157,2016,3,27,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7567432
158,2016,4,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,7567432
159,2016,4,10,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,7567432
160,2016,4,17,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7567432
161,2016,4,24,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,7567432
162,2016,5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
163,2016,5,8,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7567432
164,2016,5,15,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7567432
165,2016,5,22,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7567432
166,2016,5,29,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,13.0,1.0,7567432
167,2016,6,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7567432
168,2016,6,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
169,2016,6,19,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
170,2016,6,26,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
171,2016,7,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
172,2016,7,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
173,2016,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7567432
174,2016,7,24,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7567432
175,2016,7,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7567432
176,2016,8,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7567432
177,2016,8,14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7567432
178,2016,8,21,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7567432
179,2016,8,28,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,7567432
180,2016,9,4,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,65.0,1.0,7567432
